codigo,descripcion,tipo,afecto_afp,afecto_quinta,afecto_essalud
919,SISTEMA NACIONAL DE PENSIONES ASUMIDO,INGRESO,S,S,S
920,SISTEMA PRIVADO DE PENSIONES ASUMIDO,INGRESO,S,S,S
921,PENSIONES DE JUBILACION PENDIENTES POR LIQUIDAR,INGRESO,N,N,N
922,SUMAS O BIENES QUE NO SON DE LIBRE DISPOSICION,INGRESO,N,N,N
923,INGRESOS DE CUARTA CATEGORIA CONSIDERADOS DE QUINTA CATEGORIA,INGRESO,N,S,N
924,INGRESOS CUARTA-QUINTA SIN RELACION DE DEPENDENCIA,INGRESO,S,S,S
925,INGRESO DEL PESCADOR ARTESANAL INDEPENDIENTE - BASE ESSALUD,INGRESO,N,N,S
926,TRANSFERENCIA DIRECTA AL EXPESCADOR - LEY 30003,INGRESO,N,N,N
927,BONIFICACION PRIMA TEXTIL,INGRESO,S,S,S
928,DEVOLUCION RETENCION EXCESO IMP RENTA 5TA CAT,INGRESO,N,N,N
929,OTRAS ASIGNACIONES QUE EXCEDEN VALOR DE MERCADO (DIVIDENDOS),INGRESO,N,N,N
930,REMUNERACION QUE EXCEDE VALOR DE MERCADO DE PERIODOS ANTERIORES,INGRESO,N,N,N
931,PARTICIPACION PESCA CAPTURADA,INGRESO,S,S,S
932,REMUNERACION TRAB PESQUEROS GRAVADA CON REP ARM Y REP TRAB,INGRESO,S,S,S
601,SISTEMA PRIVADO DE PENSIONES - COMISIÓN PORCENTUAL,DESCUENTO,,,
602,CONAFOVICER,DESCUENTO,,,
603,CONTRIBUCIÓN SOLIDARIA PARA LA ASISTENCIA PREVISIONAL,DESCUENTO,,,
604,ESSALUD +VIDA,DESCUENTO,,,
605,RENTA QUINTA CATEGORÍA RETENCIONES,DESCUENTO,,,
606,SISTEMA PRIVADO DE PENSIONES - PRIMA DE SEGURO,DESCUENTO,,,
607,SISTEMA NACIONAL DE PENSIONES - D.L.19990,DESCUENTO,,,
608,SISTEMA PRIVADO DE PENSIONES - APORTACIÓN OBLIGATORIA,DESCUENTO,,,
609,SISTEMA PRIVADO DE PENSIONES - APORTACIÓN VOLUNTARIA,DESCUENTO,,,
610,ESSALUD - SEGURO REGULAR - PENSIONISTA,DESCUENTO,,,
611,OTROS APORTACIONES DEL TRABAJADOR / PENSIONISTA,DESCUENTO,,,
612,SISTEMA NACIONAL DE PENSIONES - ASEGURA TU PENSIÓN,DESCUENTO,,,
613,RÉGIMEN PENSIONARIO - D.L. 20530,DESCUENTO,,,
614,RÉGIMEN PENSIONARIO DEL SERV. DIPLOMÁTICO,DESCUENTO,,,
615,RÉGIMEN DE PENSIONES MILITAR-POLICIAL,DESCUENTO,,,
616,APORTE MENSUAL AL FCJMMS  -  LEY 29741 (1),DESCUENTO,,,
617,CUOTA- FRACCIONAMIENTO- FONDO CJMMS - LEY 29741  (2),DESCUENTO,,,
618,RENTA CUARTA CATEGORÍA RETENCIONES –CAS,DESCUENTO,,,
619,SNP – TRABAJADOR INDEPENDIENTE - LEY 29903,DESCUENTO,,,
620,REP - TRAB. PESQUERO LEY 30003 – RETENCIÓN,DESCUENTO,,,
621,RENTA QUINTA CATEGORÍA REGUL EJERC ANTERIOR,DESCUENTO,,,
